Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
improved,NoisyHeuristicAgent,94,False,Win,4,0.97
improved,NoisyHeuristicAgent,95,False,Win,4,0.97
improved,NoisyHeuristicAgent,96,False,Win,4,0.97
improved,NoisyHeuristicAgent,97,False,Loss,3,-1.02
improved,NoisyHeuristicAgent,98,False,Win,4,0.97
improved,NoisyHeuristicAgent,99,False,Win,4,0.97
improved,AlphaBetaAgent,0,True,Loss,4,-1.03
improved,AlphaBetaAgent,1,True,Loss,4,-1.03
improved,AlphaBetaAgent,2,True,Loss,4,-1.03
improved,AlphaBetaAgent,3,True,Loss,4,-1.03
improved,AlphaBetaAgent,4,True,Loss,4,-1.03
improved,AlphaBetaAgent,5,True,Loss,4,-1.03
improved,AlphaBetaAgent,6,True,Loss,4,-1.03
improved,AlphaBetaAgent,7,True,Loss,4,-1.03
improved,AlphaBetaAgent,8,True,Loss,4,-1.03
improved,AlphaBetaAgent,9,True,Loss,4,-1.03
improved,AlphaBetaAgent,10,False,Loss,4,-1.03
improved,AlphaBetaAgent,11,False,Loss,3,-1.02
improved,AlphaBetaAgent,12,False,Loss,4,-1.03
improved,AlphaBetaAgent,13,False,Loss,3,-1.02
improved,AlphaBetaAgent,14,False,Loss,3,-1.02
improved,AlphaBetaAgent,15,False,Loss,4,-1.03
improved,AlphaBetaAgent,16,False,Loss,3,-1.02
improved,AlphaBetaAgent,17,False,Loss,3,-1.02
improved,AlphaBetaAgent,18,False,Loss,3,-1.02
improved,AlphaBetaAgent,19,False,Loss,3,-1.02
